"MEMBER_NO";"FFP_DATE";"FIRST_FLIGHT_DATE";"GENDER";"FFP_TIER";"WORK_CITY";"WORK_PROVINCE";"WORK_COUNTRY";"AGE";"LOAD_TIME";"FLIGHT_COUNT";"BP_SUM";"SUM_YR_1";"SUM_YR_2";"SEG_KM_SUM";"LAST_FLIGHT_DATE";"LAST_TO_END";"AVG_INTERVAL";"MAX_INTERVAL";"EXCHANGE_COUNT";"avg_discount";"Points_Sum";"Point_NotFlight"
4234;"2009-08-07";"2010-01-17";"Male";4;"Guangzhou";"Guangdong";"CN";37.0;"2014-03-31";87;108443;48404.0;52189.0;115134;"2014-01-31";61;7.73256;49;3;0.96231;125094;9
4254;"2009-11-07";"2009-11-07";"Male";4;"Guilin";"Guangxi";"CN";48.0;"2014-03-31";16;67968;13446.0;14985.0;127164;"2014-03-02";30;46.73333;116;7;0.62338;67968;7
4255;"2006-03-07";"2006-03-07";"Male";4;"Guangzhou";"Guangdong";"CN";35.0;"2014-03-31";32;28899;19860.0;12800.0;48976;"2014-02-22";39;21.74194;93;2;0.70187;43509;40
4256;"2009-09-28";"2010-04-07";"Female";4;"Kaiping";"Guangdong";"CN";42.0;"2014-03-31";8;44196;11400.0;11300.0;97856;"2014-01-15";77;69.57143;157;0;0.6975;44196;0
4262;"2009-10-13";"2009-10-13";"Male";5;"Guangzhou";"Guangdong";"CN";55.0;"2014-03-31";39;37207;22135.0;14250.0;74715;"2014-02-18";43;17.84211;64;3;0.66407;47202;13
4266;"2009-10-08";"2009-10-11";"Male";5;"Wuhanshi";"Hubei";"CN";55.0;"2014-03-31";49;31821;15194.0;18743.0;49410;"2014-02-28";33;14.47917;66;0;0.73593;33358;0
4280;"2009-10-30";"2009-10-30";"Male";4;"Beijing";"Beijing";"CN";45.0;"2014-03-31";29;46217;26607.0;14057.0;67347;"2013-12-14";109;21.0;110;0;0.83442;46217;0
4285;"2009-11-09";"2009-11-09";"Male";4;"Beijing";"Beijing";"CN";68.0;"2014-03-31";27;35026;18897.0;13588.0;46120;"2014-01-30";62;24.61538;107;4;0.81551;35402;5
4289;"2009-11-11";"2009-11-11";"Male";4;"Guangzhou";"Guangdong";"CN";33.0;"2014-03-31";42;26893;16716.0;15064.0;36384;"2014-02-18";43;16.58537;135;2;0.77195;27784;10
4296;"2009-09-19";"2009-09-19";"Male";4;"Beijing";"Beijing";"CN";34.0;"2014-03-31";22;24037;18538.0;7931.0;37010;"2014-01-19";73;31.09524;162;0;0.77812;29425;21
4301;"2009-09-30";"2010-07-14";"Male";5;"Haerbin";"Heilongjiang";"CN";42.0;"2014-03-31";41;35729;14492.0;18615.0;51410;"2014-03-30";2;18.225;90;3;0.75952;37419;3
4302;"2009-10-19";"2011-01-10";"Male";5;"Zhanjiangshi";"Guangdong";"CN";36.0;"2014-03-31";33;25327;6293.0;21252.0;42090;"2014-03-26";6;22.15625;115;0;0.70365;25827;1
4311;"2010-03-22";"2010-03-28";"Male";5;"Guangzhou";"Guangdong";"CN";43.0;"2014-03-31";80;61558;25602.0;44910.0;110571;"2014-03-27";5;8.68354;56;10;0.69874;67588;14
4316;"2009-09-07";"2009-09-10";"Male";5;"Guangzhou";"Guangdong";"CN";45.0;"2014-03-31";30;29686;6940.0;19884.0;47616;"2014-03-11";21;23.65517;113;2;0.69076;38828;15
4317;"2009-09-08";"2009-12-11";"Male";5;"Guangzhou";"Guangdong";"CN";48.0;"2014-03-31";44;87996;25290.0;56885.0;69154;"2014-03-03";29;16.32558;159;7;1.31184;94472;9
4321;"2009-10-12";"2009-10-22";"Male";5;"Guangzhou";"Guangdong";"CN";29.0;"2014-03-31";42;31562;9224.0;26316.0;53358;"2014-02-23";38;16.80488;106;3;0.68926;33768;5
4324;"2010-09-28";"2010-09-28";"Male";4;"Nantong";"Jiangsu";"CN";37.0;"2014-03-31";35;29326;21746.0;11166.0;51320;"2014-03-22";10;21.08824;76;3;0.73089;29326;3
4325;"2009-11-22";"2009-11-25";"Male";5;"Wuhan";"Hubei";"CN";37.0;"2014-03-31";48;22633;15875.0;12609.0;44004;"2014-03-25";7;15.34043;66;3;0.65737;22633;3
4329;"2010-05-09";"2010-05-09";"Male";4;"Guangzhou";"Guangdong";"CN";34.0;"2014-03-31";27;27303;18173.0;7007.0;30569;"2014-03-06";26;27.0;96;2;0.90892;27303;2
4331;"2009-10-17";"2009-11-21";"Male";6;"Shenzhen";"Guangdong";"CN";35.0;"2014-03-31";74;75164;28862.0;45137.0;86299;"2014-03-31";1;9.87671;44;4;0.96731;89831;14
4335;"2009-10-21";"2009-10-21";"Male";4;"Guangzhou";"Guangdong";"CN";37.0;"2014-03-31";33;28238;8130.0;24174.0;57278;"2014-03-06";26;20.84375;122;0;0.67656;31777;9
4343;"2009-11-18";"2009-12-04";"Male";4;"Guangzhou";"Guangdong";"CN";53.0;"2014-03-31";55;33857;21653.0;18153.0;61972;"2014-03-14";18;13.05556;91;5;0.66233;41683;31
4352;"2009-12-03";"2010-02-12";"Male";6;"";"Beijing";"CN";41.0;"2014-03-31";40;39047;20187.0;19667.0;52909;"2014-03-16";16;18.33333;106;0;0.82219;40001;3
4363;"2009-12-26";"2009-12-28";"Male";6;"Dalian";"Liaoning";"CN";51.0;"2014-03-31";83;51421;17438.0;41258.0;98330;"2014-03-31";1;8.80488;56;5;0.67195;61750;11
4366;"2008-10-29";"2009-12-04";"Female";6;"Wulumuqi";"Xinjiang";"CN";55.0;"2014-03-31";21;36838;13264.0;21532.0;51934;"2014-02-02";59;27.5;184;1;0.80611;37338;2
4375;"2010-04-07";"2010-04-17";"Male";4;"Wulumuqi";"Xinjiang";"CN";55.0;"2014-03-31";26;26481;22016.0;8335.0;49169;"2014-01-19";73;26.24;277;0;0.72522;26481;0
4377;"2008-09-07";"2008-09-07";"Female";4;"Wulumuqi";"Xinjiang";"CN";33.0;"2014-03-31";21;41785;22414.0;14941.0;56429;"2014-03-27";5;35.45;157;1;0.83817;42585;2
4387;"2010-07-11";"2010-08-22";"Male";6;"Xining";"Qinghai";"CN";48.0;"2014-03-31";38;60231;32100.0;30783.0;57596;"2014-01-20";72;17.45946;61;2;1.30967;66622;5
4391;"2009-12-06";"2010-01-02";"Male";4;"Longquanshi";"Zhejiang";"CN";48.0;"2014-03-31";40;22458;15194.0;15844.0;51594;"2014-03-01";31;17.20513;86;0;0.59056;23086;0
4395;"2009-09-04";"2009-09-04";"Male";4;"Qingdao";"Shandong";"CN";52.0;"2014-03-31";27;34203;8848.0;24130.0;59962;"2014-03-16";16;26.73077;184;0;0.70274;36667;1
4398;"2009-12-29";"2009-12-29";"Male";5;"Qingyuan";"Guangdong";"CN";53.0;"2014-03-31";52;36391;22842.0;26334.0;58644;"2014-03-15";17;14.0;73;0;0.67227;41252;4
4401;"2009-12-21";"2011-06-18";"Female";4;"Shishi";"Fujian";"CN";37.0;"2014-03-31";18;50855;14968.0;18665.0;76005;"2014-02-20";41;38.52941;302;0;0.78695;50855;0
4421;"2010-07-28";"2010-07-28";"Male";4;"Shenzhen";"Guangdong";"CN";38.0;"2014-03-31";39;39996;11674.0;22702.0;64974;"2013-12-27";96;15.94737;104;1;0.69363;41681;2
4429;"2009-12-06";"2010-08-22";"Female";4;"Guangzhou";"Guangzhou";"CN";31.0;"2014-03-31";9;45399;19500.0;11510.0;57146;"2013-10-06";178;36.125;104;0;0.84416;45399;0
4446;"2010-02-23";"2010-02-24";"Male";5;"Foshan";"Guangdong";"CN";40.0;"2014-03-31";93;90486;37117.0;57675.0;150612;"2014-03-27";5;7.84783;64;4;0.71806;106081;5
4451;"2009-12-27";"2010-01-07";"Male";4;"Beijing";"Beijing";"CN";50.0;"2014-03-31";25;32909;20930.0;9714.0;29472;"2014-03-15";17;29.04167;109;0;1.1497;32909;0
4465;"2010-09-22";"2010-09-22";"Male";4;"Changchun";"Jilin";"CN";38.0;"2014-03-31";14;19263;11931.0;12201.0;41848;"2013-12-25";98;39.92308;109;0;0.69287;19263;0
4468;"2011-09-14";"2011-09-16";"Female";6;"Ande";"Ande";"FR";33.0;"2014-03-31";35;151293;53356.0;39002.0;167150;"2014-03-17";15;21.05882;192;0;0.89426;151293;0
4479;"2009-12-28";"2009-12-28";"Male";4;"Zhanjiang";"Guangdong";"CN";53.0;"2014-03-31";24;27678;20267.0;10208.0;38272;"2013-10-06";178;23.34783;83;2;0.84217;33910;23
4480;"2010-04-30";"2010-04-30";"Male";4;"Beijing";"Beijing";"CN";46.0;"2014-03-31";28;26997;8670.0;21036.0;52956;"2014-03-01";31;23.81481;87;0;0.64507;27739;10
4489;"2009-12-01";"2009-12-15";"Male";5;"Guangzhou";"Guangdong";"CN";34.0;"2014-03-31";29;31608;11710.0;19035.0;37543;"2013-11-28";125;20.25;160;3;0.87397;41314;31
4491;"2010-01-05";"2010-01-15";"Male";5;"Shanghai";"Shanghai";"US";54.0;"2014-03-31";41;33211;10384.0;8926.0;48163;"2014-01-26";66;15.85;51;0;0.7989;34762;0
4494;"2010-12-16";"2011-01-05";"Male";5;"Zhuzhou";"Hunan";"CN";47.0;"2014-03-31";61;39377;32448.0;11453.0;56461;"2014-03-21";11;11.91667;72;2;0.8131;41730;5
4497;"2010-03-06";"2010-03-30";"Male";5;"Jieyang";"Guangdong";"CN";33.0;"2014-03-31";43;34402;28985.0;4847.0;52019;"2014-01-04";88;15.28571;178;0;0.73071;35446;2
4539;"2010-03-11";"2010-11-09";"Male";6;"";"Beijing";"CN";41.0;"2014-03-31";20;36016;13395.0;19668.0;25654;"2014-02-23";38;30.78947;109;0;1.41932;37323;1
4546;"2010-05-01";"2012-05-24";"Male";5;"Beijing";"Beijing";"CN";32.0;"2014-03-31";56;61437;19035.0;39696.0;94125;"2014-03-26";6;12.21818;67;1;0.7037;68512;8
4576;"2010-02-15";"2010-11-16";"Male";5;"Guangzhou";"Guangdong";"CN";31.0;"2014-03-31";47;39274;19079.0;24612.0;53658;"2014-03-24";8;14.17391;81;0;0.81909;43692;1
4578;"2013-03-01";"2013-03-18";"Male";4;"Osaka";"Osaka";"JP";63.0;"2014-03-31";24;29884;3839.0;39765.0;63432;"2014-03-25";7;16.21739;56;0;0.735;36856;8
4581;"2010-07-25";"2010-08-06";"Male";5;"Fanyu";"Guangdong";"CN";41.0;"2014-03-31";61;92929;48752.0;36575.0;161499;"2014-03-29";3;12.13333;71;2;0.71301;118004;35
4587;"2010-08-09";"2010-10-10";"Male";4;"Guangzhou";"Guangdong";"CN";48.0;"2014-03-31";31;27405;22441.0;6875.0;37287;"2013-12-18";105;20.7;88;0;0.76788;27405;0
4590;"2010-03-28";"2010-03-28";"Female";4;"Guangzhou";"Guangdong";"CN";29.0;"2014-03-31";33;23845;10266.0;16792.0;52910;"2014-01-27";65;20.625;102;3;0.60024;29544;24
4596;"2010-07-16";"2010-07-16";"Male";5;"Guangzhou";"Guangdong";"CN";34.0;"2014-03-31";37;38380;7035.0;25883.0;50367;"2014-03-28";4;16.38889;118;1;0.76238;47203;20
4610;"2011-01-07";"2011-01-07";"Male";4;"Guangzhou";"Guangdong";"CN";44.0;"2014-03-31";26;24184;12572.0;15285.0;47154;"2014-03-20";12;28.2;79;0;0.6711;24184;0
4618;"2010-04-15";"2010-04-15";"Male";5;"Dalian";"Liaoning";"CN";36.0;"2014-03-31";71;41043;26249.0;23613.0;64219;"2014-03-29";3;10.4;50;0;0.75746;45492;5
4625;"2011-11-21";"2011-11-21";"Male";4;"Beijing";"Beijing";"CN";36.0;"2014-03-31";16;21458;13476.0;8192.0;48236;"2013-12-04";119;36.6;105;0;0.63409;21458;2
4628;"2010-04-22";"2010-04-22";"Male";5;"Shenzhen";"Guangdong";"CN";40.0;"2014-03-31";37;33086;12380.0;22790.0;36135;"2014-03-21";11;18.88889;144;0;0.87915;34401;0
4632;"2010-03-18";"2010-03-25";"Male";6;"Changsha";"Hunan";"CN";49.0;"2014-03-31";80;34111;16687.0;27967.0;59088;"2014-03-24";8;9.05063;63;0;0.71008;39792;2
4638;"2010-04-17";"2010-04-22";"Male";4;"Yancheng";"Jiangsu";"CN";58.0;"2014-03-31";28;50151;13220.0;33487.0;37203;"2014-03-01";31;23.51852;85;0;1.44194;51690;1
4643;"2010-03-30";"2010-03-31";"Male";4;"Guangzhou";"Guangdong";"CN";33.0;"2014-03-31";31;30325;12610.0;17742.0;36540;"2014-03-02";30;22.56667;145;0;0.83157;33148;9
4645;"2010-04-18";"2010-04-18";"Female";4;"Guangzhou";"Guangdong";"CN";39.0;"2014-03-31";28;25468;19790.0;7316.0;42786;"2013-12-24";99;22.48148;123;0;0.72574;25568;3
4650;"2010-05-26";"2010-06-20";"Male";5;"Shenzhen";"Guangdong";"CN";57.0;"2014-03-31";13;31721;17774.0;9872.0;23714;"2014-03-28";4;59.58333;126;0;1.37372;32609;1
4654;"2010-08-18";"2010-08-19";"Male";4;"Shanghai";"Shanghai";"CN";41.0;"2014-03-31";62;48676;3500.0;6901.0;63825;"2014-03-23";9;11.55738;44;8;0.8837;51385;9
4692;"2010-07-14";"2010-08-28";"Male";4;"Guangzhou";"Guangdong";"CN";39.0;"2014-03-31";46;38433;23179.0;17368.0;60743;"2014-03-30";2;15.64444;59;0;0.70791;45499;16
4705;"2010-07-30";"2010-08-25";"Male";5;"Guangzhou";"Guangdong";"CN";34.0;"2014-03-31";25;45944;22478.0;19147.0;41212;"2014-02-21";40;28.54167;106;0;1.12662;46877;0
4706;"2010-07-30";"2010-07-30";"Male";5;"Guangzhou";"Guangdong";"CN";39.0;"2014-03-31";49;26600;15689.0;13696.0;51570;"2014-03-17";15;14.08333;90;0;0.66271;27289;1
4716;"2010-09-06";"2010-09-06";"Male";4;"Miyada mura";"Kamiina gun";"JP";46.0;"2014-03-31";17;49878;33537.0;20600.0;54910;"2013-09-02";212;28.875;153;0;0.86176;52225;1
4717;"2011-01-28";"2011-01-28";"Female";4;"San Diego";"California";"US";49.0;"2014-03-31";8;21120;6589.0;6821.0;52372;"2013-07-27";249;53.71429;320;0;0.68169;21120;0
4718;"2011-03-15";"2011-03-16";"Male";4;"Guangzhou";"Guangdong";"CN";33.0;"2014-03-31";13;21148;7114.0;10328.0;45038;"2013-10-24";160;42.5;167;2;0.67987;21148;2
4723;"2010-04-19";"2010-04-19";"Male";4;"Hangzhou";"Zhejiang";"CN";47.0;"2014-03-31";38;25417;13291.0;14758.0;43839;"2014-02-22";39;18.56757;115;2;0.68599;25417;2
4735;"2010-09-14";"2010-09-14";"Male";6;"Shenzhen";"Guangdong";"CN";43.0;"2014-03-31";29;33757;5760.0;26120.0;35027;"2014-03-24";8;25.10714;242;0;1.00646;33757;1
4738;"2010-07-16";"2011-01-21";"Female";4;"Guiyang";"Guizhou";"CN";42.0;"2014-03-31";35;32016;14893.0;15591.0;43381;"2014-03-24";8;20.91176;89;0;0.77957;33396;2
4742;"2011-02-22";"2011-03-01";"Male";4;"Shanghai";"Shanghai";"CN";40.0;"2014-03-31";16;27455;29460.0;0.0;19804;"2012-09-04";575;10.2;59;3;1.49535;28955;4
4750;"2012-10-15";"2012-10-16";"Female";6;"Shishi";"Fujian";"CN";26.0;"2014-03-31";76;34960;7400.0;35100.0;106400;"2014-03-28";4;7.05333;62;0;0.52632;48750;1
4759;"2010-08-31";"2010-10-18";"Female";4;"Arcadia";"California";"US";19.0;"2014-03-31";7;66692;23309.0;6300.0;62499;"2013-04-11";356;46.16667;169;0;0.96433;66692;0
4767;"2011-03-06";"2011-03-07";"Male";4;"Shenzhen";"Guangdong";"CN";46.0;"2014-03-31";37;21454;15783.0;10994.0;53324;"2014-03-01";32;19.36111;118;3;0.5677;26454;6
4768;"2011-03-17";"2011-03-22";"Male";4;"Beijing";"Beijing";"CN";42.0;"2014-03-31";29;25894;27250.0;0.0;29086;"2013-03-23";375;12.25;70;2;1.0;25894;3
4776;"2011-07-07";"2012-03-09";"Male";5;"Guangzhou";"Guangdong";"CN";47.0;"2014-03-31";50;31847;0.0;39056.0;55647;"2014-03-13";19;6.06122;34;2;0.70285;36487;4
4781;"2010-04-29";"2010-04-29";"Male";4;"Guangzhou";"Guangdong";"CN";48.0;"2014-03-31";28;27888;27734.0;3142.0;39964;"2013-04-27";340;13.7037;60;0;0.8245;27888;1
4801;"2010-07-14";"2010-09-06";"Male";5;"Beijing";"Beijing";"CN";38.0;"2014-03-31";37;36542;10173.0;26952.0;43273;"2014-03-04";28;13.13889;130;1;0.88036;38938;4
4803;"2010-07-08";"2010-07-08";"Male";4;"Beijing";"Beijing";"CN";29.0;"2014-03-31";29;29199;18380.0;13673.0;47627;"2014-03-05";27;23.25;135;7;0.76071;34999;13
4818;"2010-08-29";"2010-09-16";"Male";4;"Guangzhou";"Guangdong";"CN";46.0;"2014-03-31";44;40485;21656.0;23131.0;60652;"2014-02-28";33;16.02326;94;7;0.78191;41549;8
4821;"2010-08-11";"2010-09-03";"Male";6;"";"Beijing";"CN";52.0;"2014-03-31";95;56170;45240.0;22766.0;81511;"2014-03-31";1;7.76596;36;0;0.8181;63886;5
4835;"2012-08-22";"2012-08-30";"Male";5;"Isehara";"Kanagawa";"JP";63.0;"2014-03-31";40;117052;45368.0;87535.0;127004;"2014-03-30";2;14.82051;35;5;0.86852;150496;16
4840;"2010-11-11";"2010-11-15";"Female";4;"Guangzhou";"Guangdong";"CN";36.0;"2014-03-31";28;32381;3852.0;27062.0;48669;"2014-02-23";38;25.0;207;0;0.73908;32381;0
4842;"2011-10-22";"2011-10-22";"Male";4;"Guangzhou";"Guangdong";"CN";49.0;"2014-03-31";54;51026;54398.0;0.0;79160;"2013-02-13";413;5.98113;40;0;0.70608;51026;1
4844;"2011-05-15";"2011-06-23";"Male";4;"Zhengzhou";"Henan";"CN";45.0;"2014-03-31";33;33697;11523.0;16804.0;45976;"2014-02-22";39;21.5625;131;0;0.74722;34697;1
4853;"2010-12-14";"2010-12-14";"Male";5;"Foshan";"Guangdong";"CN";60.0;"2014-03-31";26;57093;47272.0;7094.0;43810;"2013-11-23";130;23.32;256;0;1.42844;58679;3
4868;"2010-09-25";"2010-09-25";"Female";5;"Changsha";"Hunan";"CN";53.0;"2014-03-31";93;91748;35033.0;47341.0;117159;"2014-03-30";2;7.72826;33;1;0.82114;104959;4
4879;"2010-12-18";"2010-12-18";"Male";4;"Shenyang";"Liaoning";"CN";33.0;"2014-03-31";29;27820;10910.0;17596.0;48007;"2014-02-16";45;23.89286;164;0;0.71803;29320;1
4896;"2011-03-08";"2011-03-08";"Male";5;"Nanning";"Guangxi";"CN";48.0;"2014-03-31";58;37999;17792.0;26135.0;70134;"2014-03-26";6;12.50877;89;3;0.67774;40362;5
4898;"2010-12-16";"2011-01-01";"Female";4;"Guangzhou";"Guangdong";"CN";49.0;"2014-03-31";6;35994;13150.0;7100.0;45535;"2014-02-15";46;107.8;216;0;0.78668;35994;0
4907;"2011-04-07";"2011-04-07";"Male";4;"Guangzhou";"Guangdong";"CN";37.0;"2014-03-31";40;35255;18647.0;20262.0;49096;"2014-03-28";4;18.17949;135;0;0.80255;35255;0
4908;"2010-09-15";"2010-09-15";"Female";5;"Guangzhou";"Guangdong";"CN";41.0;"2014-03-31";47;64841;25172.0;36653.0;93009;"2014-03-10";22;15.30435;104;2;0.76797;68214;2
4910;"2011-01-11";"2011-01-11";"Male";5;"Suzhou";"Jiangsu";"CN";37.0;"2014-03-31";35;28636;7489.0;19151.0;40156;"2014-03-29";3;19.85294;96;0;0.80447;29759;0
4927;"2011-01-07";"2011-01-07";"Female";4;"Changsha";"Hunan";"CN";70.0;"2014-03-31";26;32796;18626.0;12319.0;34136;"2014-03-21";11;28.24;112;0;1.06308;32796;0
4935;"2011-01-14";"2011-01-14";"Female";4;"Changchun";"Jilin";"CN";33.0;"2014-03-31";54;45886;18699.0;23685.0;65360;"2014-03-15";17;13.03774;77;4;0.77647;50598;6
4950;"2010-11-27";"2010-11-27";"Male";5;"Shantou";"Guangdong";"CN";62.0;"2014-03-31";58;35680;13884.0;31460.0;67411;"2014-03-15";17;10.40351;82;0;0.66148;41992;2
4983;"2010-11-23";"2010-11-23";"Male";4;"";"Beijing";"CN";59.0;"2014-03-31";41;47338;28050.0;21221.0;33309;"2014-02-03";58;16.7;381;0;1.46107;48270;2
4984;"2011-02-17";"2011-03-26";"Male";4;"La courneuve";"La courneuve";"FR";38.0;"2014-03-31";4;37964;4500.0;11520.0;40544;"2013-09-19";195;117.33333;243;0;0.8425;38464;1
4988;"2011-02-06";"2011-02-11";"Female";4;"Guangzhou";"Guangdong";"CN";28.0;"2014-03-31";7;26788;6942.0;6307.0;50656;"2013-09-25";189;78.0;238;1;0.68551;26788;1
5010;"2012-04-28";"2012-04-28";"Male";4;"Guangzhou";"Guangdong";"CN";42.0;"2014-03-31";68;30814;24180.0;23352.0;63950;"2013-10-31";153;8.22388;72;0;0.68948;34273;2
5012;"2011-03-04";"2011-04-09";"Male";5;"Chenghai";"Guangdong";"CN";49.0;"2014-03-31";65;30733;14731.0;24193.0;39876;"2014-03-24";8;11.17188;50;2;0.73052;33181;2
5023;"2011-01-20";"2011-02-25";"Male";4;"Chenghai";"Guangdong";"CN";56.0;"2014-03-31";23;15871;9730.0;9350.0;45694;"2014-03-24";8;30.90909;128;0;0.63623;15871;0
5039;"2011-01-19";"2011-01-19";"Male";6;"Guangzhou";"Guangdong";"CN";46.0;"2014-03-31";168;101692;55550.0;56052.0;130985;"2014-03-30";2;4.34132;22;5;0.80066;135829;21
5040;"2011-02-25";"2011-05-08";"Male";6;"Guangzhou";"Guangdong";"CN";36.0;"2014-03-31";24;142746;36000.0;98882.0;125340;"2014-03-02";30;28.3913;116;3;1.02624;157710;6
5062;"2011-04-25";"2011-04-25";"Male";4;"Shenzhen";"Guangdong";"CN";42.0;"2014-03-31";21;24446;7339.0;15379.0;37669;"2014-03-07";25;33.4;143;0;0.76531;24446;0
5063;"2012-11-25";"2012-11-25";"Female";4;"Kawasaki-shi";"Kanagawa";"JP";42.0;"2014-03-31";22;49835;18428.0;35200.0;62709;"2014-02-06";55;20.85714;197;1;0.77988;59223;5
5073;"2011-02-06";"2011-03-01";"Female";4;"Guangzhou";"Guangdong";"CN";30.0;"2014-03-31";26;24921;12323.0;13712.0;44168;"2014-01-30";62;21.72;74;2;0.66617;28913;10
5106;"2011-03-02";"2011-03-02";"Male";4;"Shanghai";"Shanghai";"CN";42.0;"2014-03-31";20;25333;12740.0;6240.0;44058;"2014-03-31";1;37.26316;114;0;0.64818;25333;0
5109;"2011-06-03";"2011-06-26";"Male";4;"Hk";"Hk";"HK";55.0;"2014-03-31";20;15127;14959.0;5300.0;42346;"2013-09-12";202;26.84211;68;0;0.66902;20227;3
5116;"2011-04-19";"2011-07-27";"Male";6;"Dalian";"Liaoning";"CN";53.0;"2014-03-31";53;44759;20685.0;27318.0;56385;"2014-03-21";11;13.28846;59;2;0.86619;51488;3
5130;"2011-01-20";"2011-01-20";"Male";5;"Guangzhou";"Guangdong";"CN";34.0;"2014-03-31";58;48239;30920.0;24823.0;90921;"2014-03-01";32;11.45614;93;1;0.6761;54585;16
5132;"2011-04-20";"2011-05-11";"Male";6;"Zhengzhou";"Henan";"CN";30.0;"2014-03-31";82;55593;23195.0;37369.0;86882;"2014-03-31";1;8.88889;109;2;0.72472;76744;32
5152;"2011-03-20";"2011-03-24";"Male";4;"Beijing";"Beijing";"CN";40.0;"2014-03-31";27;33042;14205.0;16245.0;41368;"2014-03-01";32;26.76923;109;3;0.86445;71042;12
5167;"2012-05-26";"2012-05-26";"Male";5;"Nara";"Nara";"JP";48.0;"2014-03-31";34;98122;75096.0;64434.0;87326;"2014-03-24";8;20.24242;71;0;1.00186;128256;8
5169;"2012-02-14";"2012-02-14";"Male";5;"Zhongqing";"Zhongqing";"CN";45.0;"2014-03-31";24;38116;5491.0;25494.0;62496;"2014-03-19";13;28.34783;162;0;0.70542;38116;0
5173;"2011-05-23";"2011-05-23";"Male";4;"Guangzhou";"Guangdong";"CN";36.0;"2014-03-31";51;28652;25088.0;13720.0;60757;"2013-10-14";170;10.4;70;3;0.66883;29309;3
5204;"2011-08-25";"2011-09-19";"Male";5;"Zhongshan";"Guangdong";"CN";40.0;"2014-03-31";50;29347;13248.0;21456.0;64346;"2014-01-24";68;13.32653;82;2;0.6477;32486;3
5228;"2011-03-17";"2011-03-17";"Male";6;"Dalian";"Liaoning";"CN";55.0;"2014-03-31";79;54080;23971.0;42422.0;102497;"2014-03-14";18;9.0;68;0;0.67154;59429;1
5241;"2011-05-14";"2011-05-14";"Male";6;"Hangzhou";"Zhejiang";"CN";31.0;"2014-03-31";96;165370;78243.0;65025.0;204612;"2014-03-18";14;7.29474;55;12;0.84824;259585;81
5243;"2011-10-11";"2011-10-20";"Female";5;"Nanning";"Guangxi";"CN";58.0;"2014-03-31";53;28335;15880.0;21873.0;63623;"2014-03-14";18;13.44231;56;1;0.61066;29928;1
5245;"2011-02-23";"2011-02-25";"Male";4;"Guangzhou";"Guangdong";"CN";34.0;"2014-03-31";24;27754;7955.0;18562.0;37646;"2014-02-27";34;20.13043;101;0;0.78325;28621;0
5261;"2011-05-11";"2011-05-11";"Male";6;"Shantou";"Guangdong";"CN";45.0;"2014-03-31";80;48047;32879.0;26391.0;67870;"2014-03-23";9;9.13924;92;1;0.7557;50936;2
5275;"2011-06-30";"2011-09-01";"Male";4;"Zhongshan";"Guangdong";"CN";64.0;"2014-03-31";18;20390;7548.0;4660.0;39386;"2014-03-22";10;32.64706;112;0;0.71589;20390;0
5284;"2012-02-15";"2012-02-15";"Male";5;"Kobe_Shi";"Hyogo";"JP";45.0;"2014-03-31";34;72491;26218.0;48319.0;84604;"2014-03-30";2;19.9697;79;1;0.77531;87432;9
5285;"2011-07-01";"2011-07-01";"Male";4;"Shanghai";"Shanghai";"CN";31.0;"2014-03-31";40;31695;15990.0;10262.0;39025;"2014-03-30";2;18.64103;73;1;0.82808;37802;8
5286;"2011-05-30";"2011-06-04";"Male";4;"Shunde";"Guangdong";"CN";50.0;"2014-03-31";30;24575;19870.0;10719.0;61696;"2013-11-16";137;19.17241;102;0;0.6191;25399;2
5296;"2011-07-15";"2011-10-07";"Male";4;"Nanchang";"Jiangxi";"CN";43.0;"2014-03-31";25;19458;8590.0;10279.0;47748;"2014-01-12";80;25.5;183;0;0.62478;19458;0
5298;"2011-06-20";"2011-06-27";"Male";4;"";"Beijing";"CN";39.0;"2014-03-31";40;36892;21309.0;19758.0;67841;"2014-03-13";19;18.17949;94;0;0.66997;42892;1
5308;"2011-04-10";"2011-04-10";"Female";4;"Changchun";"Jilin";"CN";46.0;"2014-03-31";44;42651;15732.0;26209.0;70269;"2014-03-09";23;15.62791;103;2;0.74793;43954;2
5323;"2011-05-17";"2011-07-13";"Male";4;"Changchun";"Jilin";"CN";41.0;"2014-03-31";34;37591;2446.0;6012.0;48512;"2014-03-01";31;19.12121;92;0;0.83672;37591;0
5366;"2011-08-21";"2011-08-31";"Male";4;"Daris";"Daris";"FR";38.0;"2014-03-31";5;15584;12615.0;0.0;41559;"2012-07-15";626;22.0;58;0;0.73901;15584;0
5370;"2012-07-12";"2012-07-27";"Female";4;"Guangzhou";"Guangdong";"CN";28.0;"2014-03-31";45;42253;15286.0;36740.0;84032;"2014-01-29";63;12.52273;67;1;0.64208;49028;9
5383;"2012-12-08";"2012-12-08";"Male";5;"Yangcheon-gu";"Seoul";"KR";57.0;"2014-03-31";46;21880;14023.0;33945.0;52667;"2014-03-16";16;10.31111;49;1;0.64372;25019;3
5395;"2012-05-08";"2012-05-08";"Male";5;"Changsha";"Hunan";"CN";45.0;"2014-03-31";33;26756;15560.0;10460.0;32110;"2014-03-01";32;20.6875;89;0;0.8765;26851;0
